id,src_lang,tgt_lang,accurate_translation,know_src_lang,know_tgt_lang,own_translation,translation,text,understand_translation,feedbackToken,created_at,update_at
1,English,Lingala,nonsense,decent,decent,Nkombo na ngai ezali Salomon,Nkombo na ngai ezali bongo,My name is Salomon,most,4181b78a-4f17-41a0-8834-f85b75916443,2021-04-18 06:59:49.69241,2021-04-18 06:59:49.69241
2,English,Lingala,accurate,well,well,"",Ndenge nini ozali kosala lelo oyo ?,Hello how are you doing today ?,absolutely,4181b78a-4f17-41a0-8834-f85b75916443,2021-04-18 07:07:47.850662,2021-04-18 07:07:47.850662
3,English,Lingala,accurate,well,well,"",Ndenge nini ozali kosala lelo oyo ?,Hello how are you doing today ?,absolutely,4181b78a-4f17-41a0-8834-f85b75916443,2021-04-18 07:09:19.987054,2021-04-18 07:09:19.987054
4,English,Zulu,needs_tweaking,well,decent,"",kudingeka imali,"",absolutely,"",2021-04-18 08:28:39.608184,2021-04-18 08:28:39.608184
5,English,Zulu,nonsense,little,little,Unjani ,nina nina,How are you,none,"",2021-04-18 08:39:52.033437,2021-04-18 08:39:52.033437
6,English,Swahili,needs_tweaking,well,little,nakupenda,i anakupenda,i love you,some,"",2021-04-18 12:12:09.064818,2021-04-18 12:12:09.064818
7,English,Zulu,nonsense,well,decent,"","u - ,",Hero,none,"",2021-04-18 12:28:40.862211,2021-04-18 12:28:40.862211
8,English,Yoruba,nonsense,well,well,E kaaro,túmọ̀ sí,Good morning,none,"",2021-04-18 16:40:44.771984,2021-04-18 16:40:44.771984
9,English,Swahili,nonsense,well,none,I would like to Translate to Bemba! Otherwise i think this is an awesome service.,"","",none,"",2021-04-19 06:34:19.347696,2021-04-19 06:34:19.347696
10,English,Swahili,needs_tweaking,well,well,Jina langu ni Msafiri,Jina langu ni pana,My name is Msafiri,most,"",2021-04-19 07:12:38.210167,2021-04-19 07:12:38.210167
11,English,Swahili,needs_work,well,well,Twende shambani.,Ukusanyaji waenda kwa u@@,Let's go to the farm.,some,562a178b-3a33-4b17-b113-13fc60df0f35,2021-04-19 07:29:57.181874,2021-04-19 07:29:57.181874
12,English,Swahili,needs_tweaking,decent,well,"For this to be more useful, it needs to also translate sentences of short phrases, because I requested a translation of “Electric current” and a returned translation was a “sasa” which I think it translated the last word only",sasa,"",none,"",2021-04-19 13:20:48.131827,2021-04-19 13:20:48.131827
13,English,Zulu,needs_work,decent,decent,"",nina nina,How are you,none,"",2021-04-19 13:42:04.851958,2021-04-19 13:42:04.851958
14,English,Afrikaans,nonsense,little,none,"","""stel jou voor",Eat,none,"",2021-04-22 06:33:51.998791,2021-04-22 06:33:51.998791
15,English,Afrikaans,nonsense,well,decent,Hoe gaan dit,"""hoe om te trou","hello, how are you?",none,"",2021-04-22 10:50:50.966334,2021-04-22 10:50:50.966334
16,English,Afrikaans,nonsense,well,decent,"","""stel jou voor",How was your day? ,none,"",2021-04-22 21:04:07.198523,2021-04-22 21:04:07.198523
17,English,Lingala,needs_tweaking,well,well,Ndenge oyo ozali lelo oyo ? Nakobenga yo na nsima,Ndenge oyo ozali kosala lelo oyo nakobenga yo na nsima,"Hello how are you doing today ?, I will call you later",absolutely,"",2021-05-04 23:36:25.061636,2021-05-04 23:36:25.061636
18,English,Yoruba,nonsense,well,well,e dupe,ṣe ìwọ náà,Thank you,none,"",2021-05-06 17:54:38.981163,2021-05-06 17:54:38.981163
19,English,Swahili,accurate,well,little,"",Ninataka kulala,I want to sleep,absolutely,"",2021-05-06 21:23:33.155969,2021-05-06 21:23:33.155969
20,English,Lingala,needs_tweaking,well,well,Lelo oyo nde mokolo,"Lelo oyo , ezali mokolo",Today is the day,absolutely,a37d257b-9c0c-4bd8-aa51-54d258b92943,2021-05-12 09:55:42.332754,2021-05-12 09:55:42.332754
21,English,Setswana,nonsense,decent,little,Keng AI,Se se diragalang,What is AI,most,"",2021-05-12 14:13:45.688502,2021-05-12 14:13:45.688502
22,English,Yoruba,nonsense,well,little,wá,túmọ̀ sí,Come,none,"",2021-05-12 15:00:09.351629,2021-05-12 15:00:09.351629
23,English,Yoruba,nonsense,well,decent,Mo n lo si oja ,tó o bá lọ síbi tí wọ́n ti ń ṣe é,I’m going to the market,none,"",2021-05-12 17:58:21.684889,2021-05-12 17:58:21.684889
24,English,Setswana,needs_work,well,well,Lebese ,kidibatsi,"Milk

 

",none,ba3a77f4-99cc-4fca-8256-362ae5b914ea,2021-05-13 10:12:37.332144,2021-05-13 10:12:37.332144
25,English,Setswana,needs_work,well,well,Setlaela,kidibatsi,Stupid,none,ba3a77f4-99cc-4fca-8256-362ae5b914ea,2021-05-13 10:32:02.34877,2021-05-13 10:32:02.34877
26,English,Setswana,nonsense,well,decent,dumela,lekoko la sepolotiki,hi,most,"",2021-05-13 14:14:31.665532,2021-05-13 14:14:31.665532
27,English,Lingala,nonsense,well,none,"",.,hello what's up ,none,"",2021-05-13 17:09:15.45141,2021-05-13 17:09:15.45141
28,English,Setswana,needs_tweaking,well,decent,Ke nako mang ,Nako ke eng,What is the time ,some,"",2021-05-15 10:08:44.833329,2021-05-15 10:08:44.833329
29,English,Yoruba,nonsense,decent,decent,Pe mi,Ó ṣe mí,Call me,none,"",2021-05-15 13:05:37.036795,2021-05-15 13:05:37.036795
30,English,Lingala,needs_tweaking,decent,well,Nalingi komindimisa ete makambo nyonso mazali kokende malamu. ,Nalingi komindimisa ete makambo nyonso mazali kokende,I want to make sure that everything is going well.,most,"",2021-05-15 18:52:58.539255,2021-05-15 18:52:58.539255
31,English,Swahili,nonsense,well,little,Sadly ... it didn’t translate “Hello” 😢 .... it gave an error ,"",Hello,none,"",2021-05-17 20:49:00.63928,2021-05-17 20:49:00.63928
32,English,Shona,nonsense,decent,decent,"Mhoro, zita rangu ndiTonderai",● Zita rangu rava kuitika,"Hello, my name is Tonderai",none,"",2021-05-18 13:13:47.228493,2021-05-18 13:13:47.228493
33,English,Setswana,needs_work,little,decent,Setswana translation needs a lot of work. I know someone who can help.,kidibatsi,Hello,none,"",2021-05-19 17:12:42.281653,2021-05-19 17:12:42.281653
34,English,Shona,accurate,decent,none,"",.,Good morning,most,"",2021-05-21 15:52:33.257025,2021-05-21 15:52:33.257025
35,English,Setswana,nonsense,well,well,Dumela,kidibatsi,Hello,none,"",2021-05-21 18:58:55.486526,2021-05-21 18:58:55.486526
